dam_nm,obsrvt_nm,msmt_tm,rain_qy,acml_rain_qy
지자체(금산),금산읍(금산),2020051023,0, 
지자체(금산),금성면(금산),2020051023,0, 
지자체(금산),남이면(금산),2020051023,0, 
지자체(금산),남일면(금산),2020051023,0, 
지자체(금산),부리면(금산),2020051023,0, 
지자체(금산),제원면(금산),2020051023,0, 
대청,옥천군(원동리),2020051023,0,205
대청,영동군(남성리),2020051023,0,209
홍수통제소,영동군(웅북리),2020051023,0,228
홍수통제소,상주시(삼포리),2020051023,0,195
홍수통제소,영동군(궁촌리),2020051023,0,228
홍수통제소,보은군(동정리),2020051023,0,215
홍수통제소,보은군(이원리),2020051023,0,214
홍수통제소,옥천군(도로관리사업소),2020051023,0,198
홍수통제소,보은군(송죽초교),2020051023,0,199
홍수통제소,상주시(화령초교),2020051023,0,225
홍수통제소,상주시(화동초교),2020051023,0,234
홍수통제소,옥천군(묘금리),2020051023,0,173
대청,보은군(신함리),2020051023,0,215
대청,옥천군(산계리),2020051023,0,194
홍수통제소,옥천군(청산초교),2020051023,0,181
홍수통제소,보은군(관기초교),2020051023,0,201
홍수통제소,보은군(삼가분교),2020051023,0,234
홍수통제소,보은군(삼산초교),2020051023,0,229
대청,보은군(구병리),2020051023,0,244
홍수통제소,옥천군(안내초교),2020051023,0,209
대청,옥천군(대정리),2020051023,0,208
대청,금산군(마전리),2020051023,0,233
대청,금산군(상곡리),2020051023,0,222
홍수통제소,청주시(문화재조사연구단),2020051023,0,204
지자체(금산),추부면(금산),2020051023,0, 
홍수통제소,금산군(신대리),2020051023,0,240
홍수통제소,대전시(원촌교),2020051023,0,93
지자체(금산),복수면(금산),2020051023,0, 
지자체(금산),진산면(금산),2020051023,0, 
홍수통제소,세종시(부강면사무소),2020051023,0,200
홍수통제소,천안시(병천초교),2020051023,0,177
홍수통제소,진천군(진천여중),2020051023,0,157
홍수통제소,청주시(가덕초교),2020051023,0,177
홍수통제소,음성군(대소보건지소),2020051023,0,193
홍수통제소,증평군(반탄교),2020051023,0,177
홍수통제소,청주시(흥덕교),2020051023,0,171
홍수통제소,세종시(농정원),2020051023,0,201
지자체(세종),부강면(세종),2020051023,0,219
지자체(세종),연기면(세종),2020051023,0,214
지자체(세종),연동면(세종),2020051023,0,159
지자체(세종),연서면(세종),2020051023,0,168
지자체(세종),전동면(세종),2020051023,0,210
지자체(세종),전의면(세종),2020051023,0,163
지자체(세종),조치원(세종),2020051023,0,208
지자체(청주),오창읍(청주),2020051023,0,150
지자체(청주),북이면(청주),2020051023,0,164
지자체(청주),내수읍(청주),2020051023,0,104
지자체(청주),옥산면(청주),2020051023,0,127
지자체(청주),강내면(청주),2020051023,0,160
지자체(청주),오송읍(청주),2020051023,0,153
